country_name,continent_name,cases,deaths,popData2019,tasa,etiqueta,Surface area (km2),Population in thousands (2017),"Population density (per km2, 2017)","Sex ratio (m per 100 f, 2017)",GDP: Gross domestic product (million current US$),"GDP growth rate (annual %, const. 2005 prices)",GDP per capita (current US$),Economy: Agriculture (% of GVA),Economy: Industry (% of GVA),Economy: Services and other activity (% of GVA),Employment: Agriculture (% of employed),Employment: Industry (% of employed),Employment: Services (% of employed),Unemployment (% of labour force),Labour force participation (female/male pop. %),Agricultural production index (2004-2006=100),Food production index (2004-2006=100),International trade: Exports (million US$),International trade: Imports (million US$),International trade: Balance (million US$),"Balance of payments, current account (million US$)",Population growth rate (average annual %),Urban population (% of total population)_x,Urban population growth rate (average annual %),"Fertility rate, total (live births per woman)","Population age distribution (0-14 / 60+ years, %)",International migrant stock (000/% of total pop.),Refugees and others of concern to UNHCR (in thousands),Infant mortality rate (per 1000 live births,Health: Total expenditure (% of GDP),Health: Physicians (per 1000 pop.),Education: Primary gross enrol. ratio (f/m per 100 pop.),Education: Secondary gross enrol. ratio (f/m per 100 pop.),Education: Tertiary gross enrol. ratio (f/m per 100 pop.),Seats held by women in national parliaments %,Mobile-cellular subscriptions (per 100 inhabitants),Mobile-cellular subscriptions (per 100 inhabitants).1,Individuals using the Internet (per 100 inhabitants),Threatened species (number),Forested area (% of land area),CO2 emission estimates (million tons/tons per capita),"Energy production, primary (Petajoules)",Energy supply per capita (Gigajoules),"Pop. using improved drinking water (urban/rural, %)",Quality Of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living,Property price to income ratio,Traffic commute time index,Pollution index,Climate index,Gross Rental Yield City Center,Gross Rental Yield Outside Center,Property Price to Rent Ratio City Center,Property Price to Rent Ratio Outside Center,Mortgate as percentage of income,Affordability Index,Cost Of Living Index,Rent Index,Cost Of Living Plus Rent Index,Grocery Index,Restaurant Price Index,Local Purchasing Power Index,Access to electricity (% of population),Adjusted net national income per capita (constant 2010 US$),Age dependency ratio (% of working-age population),"Air transport, passengers carried",Commercial service exports (current US$),Commercial service imports (current US$),Consumer price index (2010 = 100),Current account balance (% of GDP),Current health expenditure (% of GDP),Exports of goods and services (% of GDP),Gross domestic savings (% of GDP),High-technology exports (current US$),Human capital index (HCI) (scale 0-1),Imports of goods and services (% of GDP),"Inflation, consumer prices (annual %)","Life expectancy at birth, female (years)","Life expectancy at birth, male (years)","Life expectancy at birth, total (years)",Military expenditure (% of GDP),"Population, female","Population, male",Urban population (% of total population)_y
Argentina,America,1498160,40766,44780675.0,0.02721071180648262,Mal,2780400,44271,16.2,95.9,632343,2.4,14564.5,6.0,27.8,66.2,2.0,24.8,73.1,6.5,48.6,119,119,57733,55610,2124,-15944,1.0,91.8,1.0,2.3,24.9,2086.3,5.0,13.7,4.8,3.8,109.8,110.3,102.9,38.9,143.9,69.4,256,10.0,204.0,3167,85,99.0,96.2,139.59,58.4,37.37,73.3,52.57,12.07,37.95,53.33,90.67,3.77,3.9,26.53,25.64,333.23,0.3,52.57,13.92,34.05,44.06,50.37,58.4,100.0,9094.367252161,56.04635544369761,16749271.0,15274156208.2134,24982416353.4138,112.887108333333,-4.84884981091141,9.12431478500366,11.2427213207093,16.0193423909208,1494147748.0,0.611,13.9806106427674,3.099315059328837,79.726,72.92399999999999,76.372,0.856137916373543,22572521.0,21472290.0,91.749
Australia,Oceania,28031,908,25203200.0,0.032392708073204664,Mal,7692060,24451,3.2,99.3,1230859,2.4,51352.2,2.5,26.5,71.1,2.7,21.2,76.1,5.5,58.4,111,111,189630,189406,224,-57746,1.5,89.4,1.5,1.9,19.0,6763.7,58.2,3.9,9.4,3.4,102.1,133.6,106.3,28.7,132.8,84.6,948,16.2,361.3,15282,222,100.0,100.0,176.54,101.94,57.58,74.25,80.66,9.24,34.73,24.58,72.79,4.9,5.05,20.41,19.82,70.87,1.41,80.66,42.54,62.39,76.87,77.12,101.94,100.0,43073.9671702132,52.599670595728206,74257326.0,64296388330.0338,67392204900.9734,115.686784599376,-2.68999652428858,9.20594781637192,21.1932001494647,24.687192926849,4837243928.0,0.8029999999999999,20.576799969608103,1.94864740944522,84.6,80.5,82.5,2.00796639339341,12349632.0,12252228.0,85.904
Austria,Europe,320036,4400,8858775.0,0.013748453299003862,Medio,83871,8736,106.0,96.2,376967,1.0,44117.7,1.3,28.3,70.4,4.7,25.6,69.7,6.2,54.6,108,108,145503,149299,-3795,7020,0.6,66.0,0.4,1.4,14.1,1492.4,166.4,3.3,11.2,5.2,102.2,97.6,89.2,30.6,157.4,83.9,118,46.9,58.7,505,158,100.0,100.0,190.37,95.66,80.75,80.91,71.52,9.66,26.27,21.9,62.13,3.63,3.78,27.55,26.46,59.08,1.69,71.52,25.86,49.64,65.86,66.94,95.66,100.0,39557.6679946118,49.6725857002038,16171640.0,66403956922.3678,55455087774.4416,113.999736749152,1.5345140680346,10.3966169059277,54.037671021734894,28.291362874601603,17027611644.0,0.7929999999999999,50.7355052962123,2.08126858275521,84.0,79.4,81.64390243902442,0.7561790419805479,4478340.0,4319226.0,58.094
Belarus,Europe,160295,1263,9452409.0,0.007879222683177891,Bueno,207600,9468,46.7,87.0,54609,-3.9,5750.8,7.5,38.9,53.6,9.6,32.0,58.4,0.5,54.0,122,122,23414,27464,-4050,-2037,0.0,76.7,0.0,1.6,16.7,1082.9,7.9,3.6,5.7,4.1,101.3,106.4,100.7,34.5,123.6,62.2,25,42.5,63.5,155,122,99.9,94.1,119.23,36.43,77.74,53.76,33.84,18.73,27.66,39.64,20.07,5.31,4.82,18.85,20.75,587.51,0.17,33.84,12.21,23.47,27.19,37.6,36.43,100.0,5923.22311762587,45.5244210861446,2493100.0,7883700000.0,4820200000.0,122.7307793579578,-1.74028732403957,5.92578575015068,66.7896002012327,29.891194365483305,687613900.0,0.693705882352941,66.5781545217791,6.0318372517778895,79.2,69.3,74.12926829268291,1.16241694312684,5077542.0,4420722.0,78.134
Belgium,Europe,608001,17951,11455519.0,0.029524622492397217,Mal,30528,11429,377.5,97.3,455107,1.5,40277.8,0.7,22.2,77.1,1.2,21.2,77.6,8.3,48.1,108,107,398033,372713,25321,1936,0.6,97.9,0.5,1.8,17.1,1387.9,63.8,3.5,10.6,3.0,104.2,177.7,85.4,38.0,115.7,85.1,37,22.6,93.4,520,196,100.0,99.5,160.52,91.02,55.49,78.92,75.36,6.96,36.26,48.92,75.16,5.82,5.92,17.18,16.88,44.69,2.24,75.36,29.64,53.44,65.77,82.34,91.02,100.0,38493.2724438044,55.329079400808105,13676844.0,115167388267.646,114004179542.095,113.128902605325,1.2267750362186298,10.338669270277,82.38680624975609,25.5049930867712,34397964674.0,0.757,80.9918274558556,2.12597086002609,83.9,79.2,81.4926829268293,0.910370732936129,5766141.0,5609017.0,97.961
Brazil,America,6901952,181402,211049519.0,0.02628270958708493,Mal,8515767,209288,25.0,96.6,1772591,-3.8,8528.3,5.2,22.7,72.0,15.2,21.5,63.2,12.4,56.0,135,136,185235,137552,47683,-58882,0.9,85.7,1.2,1.8,21.7,713.6,41.1,15.8,8.3,1.9,113.8,102.2,59.3,10.7,126.6,59.1,990,59.2,529.8,10948,61,100.0,88.0,96.15,42.38,29.38,51.7,53.07,16.96,46.39,61.17,70.76,4.01,4.02,24.92,24.85,224.6,0.45,53.07,15.52,35.07,41.65,42.33,42.38,100.0,9359.89169634609,43.450060748941794,96395709.0,33676596772.93,70369731833.56,155.668786230018,-0.727859993379999,9.46747660636902,12.5230753666957,15.348823291108902,10756516887.0,0.56,11.804638359465802,3.4463733503267204,79.156,71.804,75.456,1.41952663807017,105601740.0,102232091.0,86.309
Bulgaria,Europe,179449,5688,7000039.0,0.03169702812498259,Mal,111002,7085,65.3,94.6,48953,3.0,6846.8,5.1,27.6,67.2,6.5,29.4,64.1,8.1,48.5,117,119,26088,28875,-2787,196,-0.6,73.9,-0.3,1.5,14.2,102.1,33.7,8.3,8.4,4.0,96.7,97.4,82.9,19.2,129.3,56.7,104,35.1,42.4,474,103,99.6,86.8,138.2,51.4,59.82,54.03,36.49,9.07,27.92,63.12,77.05,5.36,5.68,18.65,17.59,77.24,1.29,36.49,8.91,23.27,30.49,29.56,51.4,100.0,7224.353984864671,54.3265513629189,1133069.0,9383450000.0,5879280000.0,107.938957188495,3.59956827691833,8.095603436231611,67.3035598741689,24.2251906503994,1684916675.0,0.6759999999999999,62.9680088765738,2.06435506312528,78.4,71.4,74.81463414634149,1.42170625732142,3636886.0,3439061.0,74.669
Canada,America,460743,13431,37411038.0,0.02915074130263509,Mal,9984670,36624,4.0,98.5,1552808,0.9,43205.6,1.8,28.6,69.6,2.1,19.5,78.4,7.1,60.7,109,109,388911,402954,-14043,-53083,1.0,81.8,1.2,1.6,16.0,7835.5,155.8,4.7,10.4,2.5,101.1,110.0,69.172,26.3,81.9,88.5,122,38.2,537.2,19276,324,100.0,100.0,167.18,108.01,60.75,69.23,70.16,6.4,36.24,26.54,44.31,5.47,6.16,18.29,16.23,42.14,2.37,70.16,29.84,50.83,69.26,65.65,108.01,100.0,41350.0699269085,48.6160745277263,91404001.0,93063926790.1683,111157192260.8,111.984831139096,-2.81404646394062,10.5727694928646,31.4105273580442,21.322801709582897,27599664924.0,0.799,33.6232145334166,1.5968841285297,84.1,79.9,81.94878048780491,1.2933951067783702,18418770.0,18124551.0,81.35
Chile,America,571919,15886,18952035.0,0.027776660680970556,Mal,756102,18055,24.3,98.2,240796,2.3,13416.2,3.9,32.8,63.3,9.6,22.9,67.5,6.8,50.7,111,111,59884,58804,1080,-4761,0.9,89.5,1.1,1.8,20.3,469.4,3.7,7.4,7.8,2.9374999999999996,100.0,101.3,94.4,15.8,129.5,64.3,197,23.4,82.6,540,85,99.7,100.0,136.2,61.28,52.5,60.97,50.09,10.67,35.7,67.67,89.39,4.42,5.06,22.64,19.77,83.59,1.2,50.09,15.43,33.48,43.19,44.38,61.28,100.0,10980.762997382,45.3828389358575,17664974.0,9763417564.2942,13194488376.6783,125.566544829069,-2.15290830965023,8.983509987592699,28.439500474910304,22.4799188188258,623854353.0,0.674,27.2161650772848,2.18271846868523,82.333,77.333,79.90899999999999,1.93561273288572,9373185.0,9097254.0,87.49
China,Asia,92021,4739,1433783692.0,0.051499114332597996,Mal,9600000,1409517,150.1,106.3,11158457,6.9,8109.1,9.2,41.1,49.7,27.0,23.9,49.1,4.6,63.0,132,133,2118981,1588696,530285,330602,0.5,55.6,3.0,1.6,17.7,978.0,301.7,11.6,5.5,1.5,104.3,95.6,47.3,23.7,93.2,50.3,1080,22.0,10291.9,101394,87,97.5,86.6,90.95,67.84,66.1,62.25,44.76,23.29,43.87,88.96,38.7,2.23,2.74,44.83,36.49,189.71,0.53,44.76,18.67,32.26,47.74,29.68,67.84,100.0,5480.724340937801,39.4359455718714,551234509.0,211364158904.64,468540008742.4121,119.088051569694,1.58497312329912,5.151193216443059,19.6922781375567,45.1323883645045,654187610235.0,0.6729999999999999,17.9401372992739,1.59313725490194,78.828,74.315,76.47,1.8965104068694,674707818.0,711687182.0,57.96
