country_name,continent_name,cases,deaths,popData2019,Surface area (km2),Population in thousands (2017),"Population density (per km2, 2017)","Sex ratio (m per 100 f, 2017)",GDP: Gross domestic product (million current US$),"GDP growth rate (annual %, const. 2005 prices)",GDP per capita (current US$),Economy: Agriculture (% of GVA),Economy: Industry (% of GVA),Economy: Services and other activity (% of GVA),Employment: Agriculture (% of employed),Employment: Industry (% of employed),Employment: Services (% of employed),Unemployment (% of labour force),Labour force participation (female/male pop. %),Agricultural production index (2004-2006=100),Food production index (2004-2006=100),International trade: Exports (million US$),International trade: Imports (million US$),International trade: Balance (million US$),"Balance of payments, current account (million US$)",Population growth rate (average annual %),Urban population (% of total population)_x,Urban population growth rate (average annual %),"Fertility rate, total (live births per woman)","Population age distribution (0-14 / 60+ years, %)",International migrant stock (000/% of total pop.),Refugees and others of concern to UNHCR (in thousands),Infant mortality rate (per 1000 live births,Health: Total expenditure (% of GDP),Health: Physicians (per 1000 pop.),Education: Primary gross enrol. ratio (f/m per 100 pop.),Education: Secondary gross enrol. ratio (f/m per 100 pop.),Education: Tertiary gross enrol. ratio (f/m per 100 pop.),Seats held by women in national parliaments %,Mobile-cellular subscriptions (per 100 inhabitants),Mobile-cellular subscriptions (per 100 inhabitants).1,Individuals using the Internet (per 100 inhabitants),Threatened species (number),Forested area (% of land area),CO2 emission estimates (million tons/tons per capita),"Energy production, primary (Petajoules)",Energy supply per capita (Gigajoules),"Pop. using improved drinking water (urban/rural, %)",Quality Of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living,Property price to income ratio,Traffic commute time index,Pollution index,Climate index,Gross Rental Yield City Center,Gross Rental Yield Outside Center,Property Price to Rent Ratio City Center,Property Price to Rent Ratio Outside Center,Mortgate as percentage of income,Affordability Index,Cost Of Living Index,Rent Index,Cost Of Living Plus Rent Index,Grocery Index,Restaurant Price Index,Local Purchasing Power Index,Access to electricity (% of population),Adjusted net national income per capita (constant 2010 US$),Age dependency ratio (% of working-age population),"Air transport, passengers carried",Commercial service exports (current US$),Commercial service imports (current US$),Consumer price index (2010 = 100),Current account balance (% of GDP),Current health expenditure (% of GDP),Exports of goods and services (% of GDP),Gross domestic savings (% of GDP),High-technology exports (current US$),Human capital index (HCI) (scale 0-1),Imports of goods and services (% of GDP),"Inflation, consumer prices (annual %)","Life expectancy at birth, female (years)","Life expectancy at birth, male (years)","Life expectancy at birth, total (years)",Military expenditure (% of GDP),"Population, female","Population, male",Urban population (% of total population)_y
Argentina,America,0.4348930060517157,0.6306491442611277,-0.18998559345057506,0.7052755025988726,-0.18867894869670324,-0.2571008581782015,-0.1844388805750169,-0.11904455851132192,-0.07553541461769975,-0.44036267736887363,0.17047282879924883,-0.2132357266788349,0.08000614242099699,-0.7762297559257172,0.12080544620707453,0.6348107341353983,-0.2142262656370679,-0.128472447634758,0.37642307895324484,0.35399442106717777,-0.4450182001019863,-0.513131866339685,-0.16558436788373668,-0.4880693871305485,0.09855504405106703,1.1981980828407421,-0.15288303906909928,0.7904436512191602,0.9602330946121377,0.005258770059910056,-0.36814310144106327,0.38799305412327323,-1.1478174102713181,0.7405700370158512,1.113834229566704,0.22108626070010146,1.4180814788754807,1.325913161077526,1.0103940255980992,0.015814370940017267,-0.17233508040406714,-1.1731629324214263,-0.1470199777964777,-0.14801171696385826,-0.35106823880400123,-0.06079746788496429,0.19055234945560737,0.07794549553793204,-0.43901919072346274,-1.921360385254349,0.7256369685590346,-0.14091678266025026,-0.00048400022784313905,0.3125809944079321,0.14433429969587924,1.0093987954275152,-0.5397240560073318,-0.6981399172131351,0.30852491499147505,0.5922182051858453,1.9326700584790577,-1.5604378078171055,-0.14091678266025026,-0.4735756975025997,-0.28234867841688666,-0.22279920968163888,0.02595660296914297,-0.43901919072346274,0.21519188251272847,-0.7013402321719411,0.5846402805816305,-0.3891069922695004,-0.6783412700156494,-0.45319791198756726,-0.3591611961446269,-0.934525994902723,0.6693889619246599,-1.2508910296032787,-0.7490006093275812,-0.38179663700711,-0.7722607140835965,-1.330060976236917,9.986002540822629e-17,-0.3263940096988556,-0.5925757138863825,-0.4514308948574775,-0.8914270596635753,-0.1863374034241198,-0.19318952847826926,1.1689109163030416
Australia,Oceania,-0.46157138733994446,-0.49453669334142647,-0.2631998899018011,2.776092862893959,-0.264228200288816,-0.2688357089019037,-0.06472965118565228,0.2364945572347306,-0.07553541461769975,1.3071696039788794,-0.5099231107065246,-0.38065425308405226,0.5784307167209917,-0.7158305188250416,-0.4389663243365985,0.8690360759639751,-0.4492424220321634,0.745620467113871,-0.12069438404532622,-0.1385195560697652,-0.06559117439887738,-0.02381529972537652,-0.18744894902444634,-1.1226343531498344,0.44021253009476596,1.0557972441220258,0.2446128625105589,0.09672095310276616,-0.033357169897150575,1.9108953851784567,-0.3205132468972578,-0.477307866582285,0.7186538646226263,0.3971172662258916,-0.08518633499153241,1.292936005667302,1.5610332408588958,0.3922111687308453,0.5026017473436609,0.8019576911280123,1.7017373080093372,-0.8323865296710273,-0.03689097944634869,0.6900575207105418,0.7940829211042885,0.5471772109646268,0.677027081399113,1.0079285750621656,1.1877538069904512,-0.3053700721944287,0.8247808623714484,1.1796344850383105,-0.5483722581463856,-0.15556356465883248,-1.1748549039804668,0.5489328709191688,0.3082488191528501,0.15544354321102108,-0.5246101630474476,-0.4087810554533311,-0.45860139796720323,0.2642880890063012,1.1796344850383105,1.5072964105672968,1.3720910846423464,1.3773110261410506,1.060502010707759,1.1877538069904512,0.21519188251272847,1.1926403974288322,0.17863705752050577,0.3199192401051985,-0.006038453165046219,0.013254833088414134,-0.25701078152651413,-0.5505751625206978,0.7024233089218137,-0.9302482258693036,-0.01893448317817675,-0.3466420208330809,1.0205266050976707,-1.077398246270372,-0.25874463554878424,0.9016925248937094,1.119937583234824,1.0437677287905567,0.2579709857231401,-0.26758332618237435,-0.261825002672427,0.8231902710803665
Austria,Europe,-0.28351076463790154,-0.39595801541207426,-0.32432348103267117,-0.4316148900054911,-0.32413014220456027,-0.1760401201021661,-0.1738763015112495,-0.2707466971722164,-0.40285554462773177,0.9635079374596264,-0.7432017185370756,-0.14884398575375132,0.5072272061067077,-0.5432612699659679,0.24519917299455748,0.36935534672967857,-0.2847311125555965,0.40668647976236194,-0.30711343266979035,-0.32321229749611885,-0.19253095591931443,-0.17049397126413757,-0.23369829197418954,-0.13947004069576352,-0.17477094478389213,-0.33261093338546427,-0.6298781209646891,-0.7704324195427266,-0.8585423048285936,-0.23670419776813653,-0.22364200137771356,-0.5302854739724213,1.4490121895811257,1.9426547347807106,-0.06961463934791763,-0.36314085350948877,0.8420699673540714,0.5661360496581684,1.6279792288805246,0.7657537224351446,-0.5460662792495148,0.8550063033027228,-0.24874752681283976,-0.3321586679080806,0.2591217953077152,0.5471772109646268,0.677027081399113,1.3560115517826032,0.9531159010271214,1.547301652377484,1.5198317389932106,0.7499499500876218,-0.46706021986872204,-1.3855334310267888,-1.2978262801840357,0.27440452890244754,-0.6447826423103632,-0.7872094956921775,0.4473807613312954,0.7332524652759012,-0.5660609591484101,0.7245793062230165,0.7499499500876218,0.35282587378861496,0.6277683260324234,0.8403645556622997,0.6667946368468575,0.9531159010271214,0.21519188251272847,0.9966462555751465,-0.16615974119365287,-0.3962286995091702,0.022865255213857197,-0.11803799440871039,-0.318565268904638,0.20075164990319116,1.184250030334789,0.1281272964432084,0.2846335560759833,-0.21845315787423655,0.9271522655569795,0.07781129101045955,-0.22892280371261825,0.7505124016365218,0.8712886092599935,0.8348845866758157,-0.9911750144490196,-0.33014004393991503,-0.32087941619515614,-0.8217183933580582
Belarus,Europe,-0.3809186238562267,-0.48451509234918133,-0.3221034554338885,-0.37944919425864565,-0.32133992766543684,-0.22956909301874626,-0.49779539280011936,-0.46223845056505136,-1.5484759996628437,-0.8590413462749127,0.46207108858743745,1.2162609218580203,-1.2016570486361344,-0.12046661026123782,1.24034898729442,-0.512893440824628,-1.624323204007641,0.3531705870226498,0.562842127577709,0.5386871624935313,-0.5437433879008369,-0.6160669621865439,-0.23663274891675848,-0.27695759864123676,-0.5847599280363308,0.30225947256881536,-0.9478748422284156,-0.42357107048452913,-0.42068896792619537,-0.4035400881968031,-0.3655467371896153,-0.5037966702773532,-0.782638247792068,0.998159615108321,-0.2097599001404396,0.04167793428928284,1.3255832799450353,0.9231397526142522,0.08172886806971101,-0.35656930704377027,-0.7979286089062295,0.6131649852217945,-0.24538694707933295,-0.35637032562050647,-0.04179383795285729,0.48637974307967113,-0.07828894977633125,-0.43448902405918305,-1.259878234356322,1.3066222440494104,-1.3135963841720821,-1.0214409992495719,1.2888926067465358,-1.1834461834793348,-0.48382918546339637,-0.8087720250584617,0.6159203933260128,-0.0152731488738098,-0.7369779280377609,-0.2488275653511947,4.250296624819793,-1.7741444443820094,-1.0214409992495719,-0.5919296913809896,-0.8999906224241795,-1.0455319033216501,-0.4679179711176652,-1.259878234356322,0.21519188251272847,-0.8780958614014311,-0.654793973037728,-0.5648736602992128,-0.7796957843153216,-0.674956177872788,5.185044852658528e-16,-0.3816699199940523,-0.6249561854599859,0.5390436347921932,0.4193823930798687,-0.3902778132375237,-1.0366634166724233e-15,0.6846536366274972,0.6594209770307676,-0.4589285844209905,-1.4117610608725544,-0.9986452163314201,-0.5857943012132794,-0.32537791462318355,-0.32012386530094195,0.36360953311968486
Belgium,Europe,-0.1079136782304982,-0.013415156127809854,-0.3146123826901146,-0.45410496677184314,-0.31386504964464307,0.0690377238582304,-0.13514684494410223,-0.22432884618010165,-0.2859554981955775,0.7811005239179474,-0.859841022452351,-0.9344232250397712,1.1887465219862923,-0.8452574554693467,-0.4389663243365985,0.9861487468782636,0.20880281587410418,-0.17306902491785134,-0.30711343266979035,-0.3847765446382367,0.533920038423287,0.646572095087391,0.10135915249575903,-0.2166464506101707,-0.17477094478389213,1.5601335479174814,-0.5503789406487575,-0.07670972142633216,-0.35332691609505684,-0.27927892438546414,-0.31549957799790984,-0.5126262715090425,1.2055594145949593,0.05366449543593197,0.24181927352435148,3.3216301581588707,0.682300351019666,1.2435276911645838,-0.27967284348074495,0.8278176687657752,-0.7654302437892341,-0.4806173397351314,-0.22445333582269683,-0.33112102543469085,0.5767549637494306,0.5471772109646268,0.6130172482486517,0.6047261681886011,0.7797528622261898,-0.4724863391066121,1.3121513719545763,0.9304738684914123,-0.9897804659394163,0.0668777941523939,-0.05801785293760533,0.6099677837315165,0.9986338148584846,0.8011979871840784,-0.9643203431235455,-0.9144404757762142,-0.6972181334823851,1.6287227686129933,0.9304738684914123,0.6144504918355825,0.8496056972259688,0.8359753474567512,1.262383394946846,0.7797528622261898,0.21519188251272847,0.9373181716564345,0.5001485448752935,-0.4269874481474865,0.6916188152570577,0.5259261825430516,-0.3503389671477092,0.14602043766457862,1.1608004257854447,1.0416457672003872,0.04994628400210653,-0.03579371264791532,0.5910046432104925,1.236759977412737,-0.21887083567317225,0.7253157144269916,0.8260797049009326,0.797987849322216,-0.8373086778068143,-0.3199053069126419,-0.31127802556498935,1.5363389142710926
Brazil,America,3.7300508577060305,4.600784009459402,0.43181351165458576,3.123378048634948,0.4403276532193246,-0.24915726691907997,-0.1597928627595598,0.5583020214484534,-1.525095990376413,-0.7271012980674035,0.014953756912214922,-0.8700314841146876,0.6699780875107874,0.362727286544168,-0.39231867679129234,-0.13813289389890465,1.1723690570939957,0.5315568961550231,1.3706580049503871,1.4005866224831816,-0.0782342351050736,-0.2134549096181861,0.35869376484762705,-1.139879121376185,0.030223546842327257,0.8362626177640038,0.00611532156276395,-0.07670972142633216,0.4213366799630322,-0.5539979498214834,-0.3358228430006238,0.5734146799887502,0.2723237771479876,-0.8908306242364573,1.7367020553112424,-0.15153103261467624,-0.415064645382435,-1.2554982295280033,0.21897002435469443,-0.516901168397901,1.8154815859188211,1.5310627152107728,0.08107937161529616,0.3902480220658163,-0.5516786609777162,0.5471772109646268,-0.8592089142119586,-1.0153823792802743,-1.0375700272732307,-2.5602402764640853,-1.528582090754789,-0.11741106411809006,0.9462204454335253,1.5396431305953495,0.5040714599331856,0.4966540215482547,-0.3596236223449925,-0.6090703387340929,0.08935049086685663,0.4563437350990844,0.9425655520232056,-1.3138532271652938,-0.11741106411809006,-0.36283511843510025,-0.22280285772809263,-0.3403324516302121,-0.28498713827266897,-1.0375700272732307,0.21519188251272847,-0.6865402299592929,-0.8991438396031836,0.5928669913264506,-0.42596572338937,0.046003772868794326,1.2017928999450704,-0.201610293551745,0.8082558702478312,-1.2096330843181904,-0.8054763503062456,-0.2843973955818401,-1.24846984574112,-1.4134101753257562,0.07804118854607062,-0.4700151267931836,-0.8457455782971182,-0.6749299058335863,-0.32922712414326766,0.4735333545927385,0.4079981031733195,0.8471452516304406
Bulgaria,Europe,-0.3692387787603039,-0.35959795322049193,-0.3312746352815499,-0.4201761206684103,-0.3304233719915723,-0.21277922967560306,-0.23021005651800977,-0.4655983093468712,0.06474464110088543,-0.806977874506981,-0.004486127073664425,-0.23899242304886822,0.1817254432985471,-0.3879489459928018,0.8360693752351006,-0.06786529135033226,0.16179958459508484,-0.1373917630913768,0.25214371320360207,0.35399442106717777,-0.5360511138784548,-0.6109066758140604,-0.22209855629532885,-0.24306009208363027,-0.9947489112887695,0.1361251607303125,-1.1863723831762105,-0.5970017450136279,-0.8417017918708092,-0.803131397921922,-0.34244804833190506,-0.08880541238795267,0.3128992396456819,0.9122964224108313,-0.9260578997466576,-0.3723412805049149,0.5771887613259783,-0.47741323590576923,0.34248706501118026,-0.6410290610591634,-0.5839810385526761,0.20643185935841507,-0.2601594954912066,-0.33430312901975257,-0.200610422173715,0.3039873394247869,-1.012832513773066,0.042961017038914466,-0.7005582578800406,-0.12625981483400192,-1.285418645930659,-0.8968606909761228,-0.5812842736397256,-1.145645691132329,0.5935469015738418,0.6586411952147814,0.6534413170056673,0.6230588302259935,-0.764204564574981,-0.7923254456982389,-0.40054224574292113,0.06702042448485196,-0.8968606909761228,-0.8203321357077074,-0.9116662735396293,-0.8845942691182102,-0.7788617123594773,-0.7005582578800406,0.21519188251272847,-0.8055724454380567,0.382055469196511,-0.581641705329475,-0.7591278479743957,-0.663307669587936,-0.5397019597925227,0.5680203695183353,0.2531014973327314,0.5556053976352252,-0.057847499829962616,-0.3797905899042066,-0.1653275070691054,0.546369362314333,-0.232726058695007,-0.6605020820972419,-0.9370675651024192,-0.8314196809062129,-0.327052104027811,-0.3368274594727086,-0.3274314916740521,0.1586613661912725
Canada,America,-0.19770957617011378,-0.14101413214174796,-0.21754598047984847,3.742685947184427,-0.2178275423861526,-0.26811356424198357,-0.09289652868903216,0.427743350542388,-0.4262355539141626,0.9201802982264783,-0.6460022986076793,-0.11020894119870109,0.42585176540466646,-0.7676012934827636,-0.7033029937599995,1.0486088380325518,-0.07321657180001068,0.9507647226161007,-0.244973749794969,-0.26164805035400096,0.5076788553147722,0.7571689910408075,-0.35162893804260664,-1.0518488300517068,0.09855504405106703,0.6048612548460884,0.00611532156276395,-0.42357107048452913,-0.5385725586306871,2.347561337221057,-0.233132160365765,-0.4066710567287701,1.1244084895995707,-0.37565146805151767,-0.24090329142766698,0.20728562020696167,-5.974902120083687e-16,0.17251658229633232,-1.8259232042915579,1.003665516702564,-0.535233490877183,0.3768200607336147,0.0862602653711192,0.966347123291768,1.6466772153425773,0.5471772109646268,0.677027081399113,0.7723496407090719,1.4145455409390841,-0.051897074054896256,0.3008836550679583,0.686014395652946,-1.0981965169763008,0.06397006397185558,-1.08492061392114,-0.18451620793976362,0.7359873491009058,0.9793371441421633,-0.8132125103419764,-1.0262359258475997,-0.7204600233052925,1.8424294051778967,0.686014395652946,0.6282930642190199,0.6972384501693494,1.006179087871905,0.6169044097073133,1.4145455409390841,0.21519188251272847,1.0965525095750772,-0.2906117755821943,0.5313234055391267,0.3884865674938519,0.494613009852572,-0.39208214154451965,-0.5726373739185129,1.255533499584743,-0.6010065381870102,-0.3023067047756177,-0.10728181992314427,0.9831768692813952,-0.5776638455984677,-0.3378438106486809,0.7757090888460518,0.9843108701576443,0.9092731700500151,-0.45509250985028166,-0.21934914138811634,-0.218110581475882,0.5538298231173103
Chile,America,-0.12991598431544576,-0.07170982105453158,-0.2865775035866879,-0.14819388266204175,-0.28860827158968144,-0.24978914349651007,-0.10345910775279955,-0.3516369606409553,-0.09891542390413062,-0.4949105648060231,-0.2377647349042153,0.4306816825720004,-0.2149798301238989,-0.12046661026123782,-0.17462965491319757,0.19759009605538863,-0.1437214187185393,0.058833176954234095,-0.12069438404532622,-0.1385195560697652,-0.4388304359201824,-0.5014508212130288,-0.1775983798368424,-0.31830860977554937,0.030223546842327257,1.061730612401972,-0.07338385875316758,-0.07670972142633216,0.18556949855404872,-0.6534883636009226,-0.3693069888641262,-0.16827182347315703,0.06944646465951505,3.813091740023197e-16,-0.4121919435074141,-0.19293295409409628,1.0607020739169422,-0.7886472333546627,0.3516364754301787,-0.24795740096516591,-0.33211870889596146,-0.43664619099314456,-0.23201464022308718,-0.32973750213683795,-0.35106823880400123,0.36478480730975116,0.677027081399113,-0.007376362096362066,-0.33141454595047065,-0.7115665487082531,-0.5611464111326064,-0.2575051466293648,-0.27152412782005503,-0.01453865090269473,0.8023229320687072,0.9764347918832935,-0.05195204817182917,0.16286600808427446,-0.22103316565744796,-0.4173807054588224,-0.3426653828505832,-0.08093032390623521,-0.2575051466293648,-0.3690642760076471,-0.31562428409591853,-0.2652282223352734,-0.20570421917494314,-0.33141454595047065,0.21519188251272847,-0.5961948799657256,-0.6714716827443039,-0.3778171399511737,-0.7539168803637807,-0.5828498520659773,0.10346718374091117,-0.4550543282190948,0.6124096429091197,-0.6967444826790965,-0.2048463249565855,-0.39094828225233225,-0.1840023749772426,-0.8230816961792178,-0.2061102967614723,0.33048362585363095,0.4040545827091035,0.41157784075660286,0.18576999605905278,-0.2912384967565671,-0.2853110851478201,0.9169991578764592
China,Asia,-0.4225511676632139,-0.38638809221102893,5.004498304921681,3.5805042583084234,5.015322743489249,-0.13623189572406855,0.18173052696892256,6.133829656717919,0.976565003271689,-0.7470146259552839,0.7925491163473845,1.4995845819283884,-1.5983623220585796,1.3808858548127019,-0.019137496428844,-1.238992000493216,-0.6607569627877494,1.1559089781183296,1.1842389563259228,1.215893881056828,5.4845571342610535,5.093645450205382,5.912320389936449,4.772586818651937,-0.2431024419926319,-0.949681234499904,1.4371005672495334,-0.42357107048452913,-0.2522838383483499,-0.4462777802748669,-0.10250817957739623,0.20257142825779648,-0.8637891727874569,-1.234283395026417,0.25739096916796406,-0.45514512346375496,-0.9196002759121364,-0.06548588634105706,-1.3089815156181206,-0.9720367748225303,2.0592193242962873,-0.5135957012916217,6.915728416712527,6.646955431946031,-0.33435070362285835,-0.9727594861593509,-1.038436447033251,-1.1462595650319933,-0.08631507730087762,0.375888585265765,-0.4275630594695649,-0.508076106288793,2.171709022332597,1.173269127847447,1.779211215417208,-0.32899125472342267,-1.6953685053406766,-1.5591458425105444,2.799762158147076,2.458342256377437,0.6245618124462502,-1.1823414508176608,-0.508076106288793,-0.14481460339596056,-0.38684575590016207,-0.04332936305477218,-0.7742207609976592,-0.08631507730087762,0.21519188251272847,-0.9027601927558446,-1.371987679848489,6.200649078580648,2.0108847293522985,4.425361110704074,-0.13291042197460698,0.2097257642582848,-0.9384096749484501,-0.9786137216777516,1.7031008206917964,6.4816577530573,-0.19333980893131275,-1.1783938901608113,-0.33868635058743746,-0.5526602608404477,-0.27814778406911683,-0.42751942861767567,0.14675017844739202,4.996476766620513,4.944869891110161,-0.8296442387746259
